County,FIPS,District,Population2022
Accomack,51001,10,33191
Albemarle,51003,7,114534
AlexandriaCity,51510,2,155525
Alleghany,51005,11,14835
Amelia,51007,11,13455
Amherst,51009,10,31589
Appomattox,51011,11,16748
Arlington,51013,6,234000
Augusta,51015,4,78064
Bath,51017,11,4049
Bedford,51019,8,80848
Bland,51021,2,6148
Botetourt,51023,10,34135
BristolCity,51520,11,16975
Brunswick,51025,11,15921
Buchanan,51027,11,19352
Buckingham,51029,11,16982
BuenaVistaCity,51530,11,6591
Campbell,51031,9,55141
Caroline,51033,10,31957
Carroll,51035,6,29147
CharlesCty,51036,11,6605
Charlotte,51037,11,11475
CharlottesvilleCity,51540,9,45373
ChesapeakeCity,51550,3,252488
Chesterfield,51041,6,378408
Clarke,51043,11,15266
ColonialHeightsCity,51570,3,18294
CovingtonCity,51580,11,5679
Craig,51045,11,4847
Culpeper,51047,9,54381
Cumberland,51049,11,9746
DanvilleCity,51590,9,42229
Dickenson,51051,11,13725
Dinwiddie,51053,10,28161
EmporiaCity,51595,11,5481
Essex,51057,11,10630
Fairfax,51059,1,1138331
FairfaxCity,51600,11,24835
FallsChurchCity,51610,11,14586
Fauquier,51061,9,74664
Floyd,51063,11,15619
Fluvanna,51065,10,28159
Franklin,51067,9,55074
FranklinCity,51620,11,8247
Frederick,51069,7,95051
FredericksburgCity,51630,10,28757
GalaxCity,51640,11,6730
Giles,51071,11,16453
Gloucester,51073,10,39493
Goochland,51075,11,26109
Grayson,51077,11,15343
Greene,51079,11,21107
Greensville,51081,11,11226
Halifax,51083,2,33644
HamptonCity,51650,7,138037
Hanover,51085,8,112938
HarrisonburgCity,51660,9,51158
Henrico,51087,5,333962
Henry,51089,9,49906
Highland,51091,11,2301
HopewellCity,51670,10,22962
IsleOfWight,51093,10,40151
JamesCty,51095,9,81199
KingAndQueen,51097,11,6718
KingGeorge,51099,10,27856
KingWilliam,51101,11,18492
Lancaster,51103,11,10750
Lee,51105,11,21982
LexingtonCity,51678,11,7457
Loudoun,51107,5,432085
Louisa,51109,10,40116
Lunenburg,51111,11,12031
LynchburgCity,51680,8,79287
Madison,51113,11,14000
ManassasCity,51683,10,42642
ManassasParkCity,51685,11,16703
MartinsvilleCity,51690,11,13725
Mathews,51115,11,8490
Mecklenburg,51117,10,30508
Middlesex,51119,11,10943
Montgomery,51121,8,98915
Nelson,51125,11,14652
NewKent,51127,11,24986
NewportNewsCity,51700,1,184306
NorfolkCity,51710,4,232995
Northampton,51131,11,11900
Northumberland,51133,11,12302
NortonCity,51720,11,3609
Nottoway,51135,11,15559
Orange,51137,10,37991
Page,51139,11,23750
Patrick,51141,8,17643
PetersburgCity,51730,10,33394
Pittsylvania,51143,9,59952
PoquosonCity,51735,1,12582
PortsmouthCity,51740,8,97029
Powhatan,51145,5,31489
PrinceEdward,51147,11,21927
PrinceGeorge,51149,10,43134
PrinceWilliam,51153,3,486943
Pulaski,51155,10,33706
RadfordCity,51750,11,16738
Rappahannock,51157,11,7502
Richmond,51159,11,9080
RichmondCity,51760,7,229395
Roanoke,51161,8,96914
RoanokeCity,51770,8,97847
Rockbridge,51163,11,22593
Rockingham,51165,7,85397
Russell,51167,11,25448
SalemCity,51775,11,25523
Scott,51169,3,21476
Shenandoah,51171,9,44968
Smyth,51173,10,29449
Southampton,51175,11,17932
Spotsylvania,51177,7,146688
Stafford,51179,6,163380
StauntonCity,51790,11,25904
SuffolkCity,51800,8,98537
Surry,51181,11,6527
Sussex,51183,11,10680
Tazewell,51185,10,39821
VirginiaBeachCity,51810,4,455618
Warren,51187,10,41440
Washington,51191,9,53958
WaynesboroCity,51820,11,22808
Westmoreland,51193,11,18712
WinchesterCity,51840,10,27936
Wise,51195,10,35421
Wythe,51197,9,28111
York,51199,9,71341
WilliamsburgCity,51830,11,15920
